track_id,track_name,artist_name,danceability,energy,valence,speechiness
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,0.652,0.877,0.486,0.0465
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,0.728,0.859,0.535,0.137
1mXuMM6zjPgjL4asbBsgnt,Firework,Katy Perry,0.638,0.831,0.649,0.049
76FZM38RC8XaAjJ77CVTNe,Into You,Ariana Grande,0.623,0.734,0.37,0.107
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,0.69,0.622,0.544,0.0622
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,0.548,0.816,0.557,0.0465
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,0.513,0.73,0.334,0.0598
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,0.702,0.825,0.915,0.0601
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,0.807,0.893,0.537,0.0347
6QNphn62YKaHG1hrnPSoHi,A Gangster's Wife,Ms Krazie,0.822,0.59,0.383,0.18
5P3o95Jf0YBQRQ4j2XPpfC,Pink Venom,BLACKPINK,0.794,0.719,0.69,0.0761
2cUzIBGMvx2BZ2Q1fzjdl1,NUNU NANA,Jessi,0.743,0.689,0.504,0.0289
45OX2jjEw1l7lOFJfDP9fv,MONEY,LISA,0.826,0.553,0.4,0.234
6bvZRLLkBKkmgpBJTTj3QK,How You Like That,BLACKPINK,0.813,0.787,0.326,0.0777
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,0.855,0.463,0.866,0.0367
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,0.504,0.785,0.502,0.104
1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Katy Perry,0.678,0.918,0.77,0.0355
5BArc3UpONi77FMkNT4LYU,Producer Man,Lyn Lapid,0.66,0.639,0.75,0.223
5iNc4Yxd9yFHHMXQT4Cc6F,Princesses Don't Cry,CARYS,0.626,0.595,0.65,0.0288
4IaxDf2FixiQXq0mW7key9,ZOOM,Jessi,0.874,0.6,0.457,0.158
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,0.727,0.739,0.533,0.0411
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,0.592,0.11
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,0.478,0.0483
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,0.866,0.811,0.969,0.0553
39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,0.695,0.884,0.914,0.0753
3JXF3LsUjyDIHjuwhXxdjo,Sweetest Pie,Megan Thee Stallion,0.814,0.626,0.686,0.214
6IbnUaczZBT34DhaD6S18F,Bubblegum Bitch,MARINA,0.495,0.856,0.609,0.0311
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,0.527,0.835,0.654,0.0433
0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,0.652,0.802,0.295,0.181
2J2Z1SkXYghSajLibnQHOa,Unstoppable,Sia,0.468,0.779,0.26,0.0779
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,0.259,0.437,0.0951,0.0386
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,0.775,0.613,0.797,0.0542
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,0.748,0.524,0.661,0.0338
1GEBsLDvJGw7kviySRI6GX,You Belong With Me,Taylor Swift,0.687,0.745,0.435,0.0379
3RKjTYlQrtLXCq5ncswBPp,"Hey, Mickey!",Baby Tate,0.912,0.507,0.725,0.0587
2g1KggY9PKvsoEAOaiz4xx,Daisy,Ashnikko,0.834,0.663,0.774,0.133
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,0.73,0.729,0.467,0.0884
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,0.777,0.317,0.33,0.308
6maTPqynTmrkWIralgGaoP,If We Ever Broke Up,Mae Stephens,0.898,0.734,0.94,0.0427
0bC7GKnxh9W9JIvJ6HVWxc,FLOWER,JISOO,0.843,0.389,0.635,0.036
6b37xrsNCWYIUphFBazqD6,Me Gustas Tu,Manu Chao,0.657,0.741,0.908,0.0825
0YrwiodQd07LE9vpI0w3Iw,Seven,Natalie Jane,0.815,0.268,0.32,0.411
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,0.701,0.76,0.69,0.0285
5D34wRmbFS29AjtTOP2QJe,"yes, and?",Ariana Grande,0.787,0.775,0.787,0.0548
5XS0GCCIotaI6XtsYcIKeX,Bon Bon Chocolat,EVERGLOW,0.72,0.828,0.633,0.0612
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,0.758,0.0707
